Designator,Mid X,Mid Y,Rotation,Layer
BT1,143.765379,-102.915681,90.0,bottom
C1,177.324879,-95.925681,180.0,bottom
C10,143.089879,-70.705681,0.0,bottom
C11,140.597379,-75.245681,0.0,bottom
C12,143.747379,-73.583181,270.0,top
C13,144.867379,-77.493181,90.0,bottom
C14,158.137379,-99.418181,270.0,top
C15,149.149879,-77.265681,0.0,bottom
C16,155.199879,-101.995681,0.0,top
C17,150.349879,-109.615681,0.0,top
C18,150.349879,-111.665681,0.0,top
C19,136.157379,-97.723181,270.0,top
C2,172.569879,-108.858181,0.0,bottom
C20,153.857379,-88.045681,270.0,top
C21,156.237379,-85.805681,180.0,top
C22,155.899879,-94.765681,180.0,bottom
C23,153.037379,-95.153181,90.0,top
C24,159.077379,-95.023181,90.0,top
C3,176.449879,-85.055681,0.0,bottom
C4,172.659879,-85.055681,180.0,bottom
C5,164.607379,-109.708181,90.0,bottom
C7,169.462879,-115.028181,180.0,bottom
C9,143.074879,-70.695681,180.0,top
D1,146.197379,-89.940681,180.0,top
D2,167.907379,-108.845681,180.0,bottom
D3,163.112379,-107.695681,0.0,top
D4,165.039842,-90.765681,180.0,top
D5,165.037342,-88.565681,180.0,top
D6,173.677379,-91.105681,270.0,top
IC1,171.025379,-111.973181,0.0,bottom
IC2,175.217379,-90.685681,270.0,bottom
IC3,155.065379,-98.885681,0.0,top
J1,180.428379,-105.763181,270.0,bottom
J2,129.967379,-110.615681,180.0,top
J3,130.187379,-99.965681,180.0,top
J4,182.067379,-81.095681,90.0,top
J5,146.567379,-125.275681,0.0,top
J6,167.297379,-125.245681,0.0,top
J7,156.917379,-125.275681,0.0,top
L1,160.357379,-110.485681,270.0,bottom
LS1,180.597379,-92.015681,0.0,top
Q1,149.039879,-117.493181,90.0,bottom
Q2,181.887379,-116.178181,90.0,top
Q3,149.989879,-114.855681,180.0,top
Q4,172.699879,-85.915681,180.0,top
R1,145.457379,-86.725681,180.0,top
R10,168.857342,-88.525681,180.0,top
R11,135.877379,-74.715681,180.0,top
R12,153.097379,-112.585681,180.0,bottom
R13,150.987379,-114.515681,0.0,bottom
R14,181.367379,-110.475681,90.0,top
R15,179.757379,-113.305681,180.0,top
R16,155.987379,-106.735681,0.0,top
R17,155.317379,-109.885681,0.0,top
R18,152.677379,-120.105681,180.0,bottom
R19,183.737379,-120.065681,270.0,top
R2,177.147379,-115.625681,90.0,bottom
R20,157.787379,-113.645681,0.0,top
R21,147.747379,-120.665681,180.0,bottom
R22,180.897379,-119.165681,0.0,top
R23,153.977379,-113.685681,180.0,top
R24,152.887379,-122.975681,270.0,bottom
R25,156.587379,-121.985681,0.0,bottom
R26,168.027379,-121.935681,270.0,bottom
R27,167.457379,-119.135681,180.0,bottom
R28,161.417379,-122.105681,270.0,bottom
R29,162.907379,-119.175681,0.0,bottom
R3,175.197379,-115.655681,270.0,bottom
R30,176.779879,-83.275681,180.0,bottom
R31,182.649879,-79.815681,0.0,bottom
R34,140.967379,-117.155681,180.0,bottom
R35,150.037379,-122.745681,180.0,bottom
R36,170.897379,-122.815681,180.0,bottom
R37,159.437379,-122.105681,90.0,bottom
R38,169.357379,-83.975681,90.0,top
R4,163.097379,-105.555681,0.0,top
R5,153.187379,-72.385681,0.0,bottom
R6,153.147379,-74.665681,0.0,bottom
R7,145.467379,-84.655681,0.0,top
R8,140.887379,-72.675681,0.0,top
R9,168.862342,-90.735681,180.0,top
RILIM1,173.257379,-115.655681,270.0,bottom
SW1,171.167379,-102.675681,0.0,top
SW2,156.997379,-118.265681,90.0,top
SW3,175.467379,-125.155681,180.0,top
SW4,138.407379,-125.155681,180.0,top
U10,156.327079,-88.385682,180.0,top
U11,155.737379,-93.805681,90.0,top
U2,152.707379,-82.860681,270.0,bottom
U3,155.347379,-76.515681,0.0,top
U4,134.647379,-85.445681,270.0,top
U5,141.294879,-113.935681,180.0,top
U6,175.939879,-80.975681,180.0,top
U7,144.097379,-122.405681,180.0,bottom
U8,180.957379,-121.465681,0.0,top
U9,150.477379,-118.345681,270.0,top
